name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_g minor,key_g# minor,time signature_2/4,time signature_3/4,time signature_3/8,time signature_4/4,time signature_5/4
White-Christmas-1.mid,0.9012964450470289,27,86,59,82,113,White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Car(1).mid,0.7426142356711553,26,94,68,120,75,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
White_Christmas.mid,0.8937226684177407,31,88,57,89,96,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White_Breath.mid,0.8717856776831934,19,99,80,120,82,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
White Zombie - Temple of the Bull.mid,0.703569678545986,35,98,63,163,100,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White Zombie - Black Sunshine.mid,0.7518716707377895,28,76,48,165,103,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
white_as_snow.mid,0.9512321213540205,26,96,70,104,70,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White Water - The Unknown.mid,0.7724503803078935,49,53,4,140,92,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
WHITE_CH.MID,0.7316133387786593,31,97,66,143,95,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WhiteLillyWaltz.mid,0.8241322426266768,43,83,40,102,92,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
whitex.mid,0.7012990684899377,28,88,60,131,67,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
whitexmas3.mid,0.8299631303621056,31,84,53,100,98,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
whitexmas2.mid,0.8937226684177407,31,88,57,89,96,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
whitexmas.mid,0.8827821748709987,34,93,59,145,111,White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
