name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,key_g# minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/4,time signature_4/8
Black_Identity_-_Blckr_Thn_Blck_(The_Prophet_vs._JDX_Remix)__traxxboy_20071116141443.mid,0.840486462162629,49,74,25,145,100,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Black_Identity_(The_Prophet_vs._JDX_Remix)__-_Blckr_Thn_Blck__Michie_20071213140721.mid,0.6901183598530451,49,74,25,145,100,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
blaksmth.mid,0.7600597721971467,38,86,48,210,98,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blakbird.mid,0.6941585064798491,57,83,26,70,115,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blakmary.mid,0.9580205963502105,43,72,29,104,105,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blaknite.mid,0.8292456520313508,23,93,70,135,109,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
blakbear.mid,0.8543721985007897,34,77,43,106,85,Black,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blakbrd.mid,0.7882209245848781,35,79,44,133,115,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blackwhi.mid,0.76945865061072,23,88,65,114,92,Black,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blackwater.mid,0.7603429637713988,26,88,62,163,96,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
blackvelvet3.mid,0.7501138338801114,26,86,60,200,94,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
