name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_3/8,time signature_4/4
Michael Johnson - Bluer than Blue.mid,0.8523593224529058,33,84,51,123,110,Blue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Melissa Manchester - Midnight Blue.mid,0.8748958361163448,29,93,64,98,87,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Linda Ronstadt - Blue Bayou.mid,0.8664488313532502,26,81,55,120,114,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marcels - Blue Moon.mid,0.8273855983812783,31,91,60,134,103,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leon Russell - Lady Blue.mid,0.7489600919457382,31,86,55,83,110,Blue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeAnn Rimes - Blue.mid,0.7766981883022493,27,83,56,92,107,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Forever-Blue.mid,0.7279141085401066,28,93,65,88,71,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Electric_Blue.mid,0.8625671221828871,28,95,67,76,78,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Foreigner - Blue Morning.mid,0.8342286781212337,28,86,58,121,106,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eiffel 65 - Blue Da Ba Dee.mid,0.8150931627301786,26,91,65,130,102,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Forever-In-Blue-Jeans.mid,0.7935103770596735,28,88,60,93,92,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Enya - Carribean Blue.mid,0.8674175809972791,40,77,37,169,56,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dj Ali - Eiffel blue.mid,0.7912233969827818,28,75,47,129,104,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Devil-With-A-Blue-Dress.mid,0.7604846969677739,24,88,64,173,77,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
